id,route,lane,tier,name,kind,status,prereqs,x,y,optimized_x,optimized_y,description
1,Hub,core,0,Vigor,Stat,Ready,,0.0,-120.0,0.0,-120.0,+3% max HP per rank.
2,Hub,core,0,Might,Stat,Ready,,190.0,-115.0,190.0,-115.0,+3% damage per rank.
3,Hub,core,0,Keen Edge,Stat,Ready,,0.0,-190.0,0.0,-190.0,+1% crit chance per rank.
4,Hub,core,0,Focus,Stat,Ready,,45.0,125.0,45.0,125.0,+2% cooldown reduction per rank.
5,Hub,core,0,Toughness,Stat,Ready,,-45.0,125.0,-45.0,125.0,+3% armor per rank.
6,Hub,core,0,Swift Step,Stat,Ready,,-125.0,45.0,-125.0,45.0,+2% move speed per rank.
7,Hub,core,0,Reflexes,Stat,Ready,,125.0,45.0,125.0,45.0,+2% attack speed per rank.
8,Hub,core,0,Precision,Stat,Ready,,-125.0,-45.0,-125.0,-45.0,+5% crit damage per rank.
9,Hub,core,0,Recovery,Stat,NeedsSystem,,185.0,75.0,185.0,75.0,+2% health recovery or potion value per rank.
10,Hub,core,0,Discipline,Stat,NeedsSystem,,-260.0,50.0,-260.0,50.0,+2% control resistance per rank.
100,Hub,movement,0,Tumbler,Stat,Ready,6,-230.0,130.0,-230.0,130.0,+3% move speed per rank.
110,Hub,warrior-connector,0,Strength,Stat,Ready,2,230.0,-35.0,230.0,-35.0,+2% damage.
111,Hub,warrior-connector,0,Endurance,Stat,Ready,110,330.0,-15.0,330.0,-15.0,+2% max HP.
210,Hub,mage-connector,0,Insight,Stat,Ready,3,70.0,-260.0,70.0,-260.0,+1% crit chance.
211,Hub,mage-connector,0,Channeling,Stat,Ready,210,30.0,-360.0,30.0,-360.0,+2% cooldown reduction.
310,Hub,healer-connector,0,Compassion,Stat,Ready,1,0.0,250.0,0.0,250.0,+2% max HP.
311,Hub,healer-connector,0,Devotion,Stat,Ready,310,0.0,350.0,0.0,350.0,+2% cooldown reduction.
410,Hub,summoner-connector,0,Ominous Bond,Stat,Ready,8,-250.0,-35.0,-250.0,-35.0,+2% damage.
411,Hub,summoner-connector,0,Rift Sympathy,Stat,Ready,410,-360.0,-15.0,-360.0,-15.0,+1% crit chance.
1000,Warrior,spine,0,Sword Slash,Unlock,Ready,111,520.0,0.0,470.0,0.0,Unlock Melee Attack.
1001,Warrior,vanguard,1,Heavy Strikes,Modifier,Ready,1000,650.0,120.0,619.0,230.0,Melee Attack +15% damage.
1002,Warrior,berserker,1,Reach,Modifier,NeedsSystem,1000,650.0,-120.0,624.8,-147.0,Melee Attack +10% arc/range.
1003,Warrior,berserker,1,Battle Tempo,Stat,Ready,1000,600.0,-260.0,589.2,-233.0,+3% attack speed per rank.
1010,Warrior,berserker,2,Blood Rush,Stat,NeedsSystem,1003,740.0,-330.0,720.0,-190.0,+4% damage per rank while above 80% stamina/energy.
1011,Warrior,berserker,3,Charge,Unlock,NeedsAbility,1010,900.0,-470.0,845.0,-236.3,Unlock Charge gap closer.
1012,Warrior,berserker,4,Momentum,Modifier,NeedsAbility,1011,1060.0,-560.0,981.5,-298.6,Charge cooldown -0.8s.
1013,Warrior,berserker,4,Shoulder Break,Modifier,NeedsSystem,1011,1060.0,-410.0,1034.5,-223.9,Charge staggers first enemy hit.
1014,Warrior,berserker,3,Whirlwind,Unlock,Ready,1010,900.0,-230.0,845.0,-143.7,Unlock Whirlwind.
1015,Warrior,berserker,4,Wider Spin,Modifier,Tuning,1014,1060.0,-280.0,962.9,-170.8,Whirlwind +15% damage/radius.
1016,Warrior,berserker,4,Endless Rotation,Modifier,Ready,1014,1060.0,-160.0,1021.3,-99.5,Whirlwind cooldown -0.5s.
1017,Warrior,spine,4,Wounded Fury,Stat,NeedsSystem,1014,1120.0,-40.0,949.2,-41.9,+6% damage per rank below 50% HP.
1018,Warrior,spine,5,Berserker,Keystone,NeedsSystem,1017,1300.0,-40.0,1152.9,-1.7,Below 50% HP: +30% melee damage.
1019,Warrior,berserker,7,Executioner,Keystone,NeedsSystem,1060,1500.0,-150.0,1425.0,-190.0,Melee crits against enemies below 30% HP execute or deal massive bonus damage.
1020,Warrior,spine,6,No Retreat,PassiveProc,NeedsSystem,1018,1500.0,70.0,1244.3,-3.9,Taking lethal damage once per floor leaves you at 1 HP and grants 3s fury.
1030,Warrior,vanguard,2,Iron Posture,Stat,Ready,1001,740.0,330.0,720.0,230.0,+5% armor per rank.
1031,Warrior,vanguard,3,Shield Bash,Unlock,NeedsAbility,1030,900.0,170.0,845.0,183.7,Unlock Shield Bash.
1032,Warrior,spine,4,Crumple,Modifier,NeedsSystem,1031,1060.0,90.0,967.8,47.2,Shield Bash applies stronger stagger.
1033,Warrior,vanguard,4,Guard Break,Modifier,NeedsSystem,1031,1060.0,250.0,1021.3,119.8,Shield Bash deals +25% damage to armored/staggered enemies.
1034,Warrior,vanguard,3,Ground Slam,Unlock,NeedsAbility,1030,900.0,500.0,845.0,276.3,Unlock Ground Slam cone/AoE melee attack.
